,ip,app,device,os,channel,click_time,attributed_time,is_attributed
59,147605,3,1,19,379,2017-11-06 15:08:24,,0
60,38683,3,1,19,379,2017-11-06 15:08:26,,0
61,199564,3,1,13,379,2017-11-06 15:09:44,,0
62,1025,3,1,17,379,2017-11-06 15:10:55,,0
63,61678,3,1,18,379,2017-11-06 15:11:15,,0
64,107899,6,1,13,459,2017-11-06 15:12:43,,0
65,89489,3,1,13,379,2017-11-06 15:13:23,,0
66,33195,3,1,13,379,2017-11-06 15:13:42,,0
67,164537,58,1,19,120,2017-11-06 15:14:35,,0
68,36213,64,1,22,459,2017-11-06 15:14:48,,0
69,6242,3,1,17,379,2017-11-06 15:15:52,,0
70,129614,3,1,15,379,2017-11-06 15:16:47,,0
71,123722,3,1,18,379,2017-11-06 15:18:58,,0
72,158417,3,1,13,379,2017-11-06 15:19:19,,0
73,78349,3,1,13,379,2017-11-06 15:20:03,,0
74,89489,3,1,13,379,2017-11-06 15:20:38,,0
75,99641,64,1,10,459,2017-11-06 15:21:24,,0
76,3653,3,1,18,379,2017-11-06 15:21:34,,0
77,209663,3,1,19,379,2017-11-06 15:22:08,,0
78,88075,3,1,19,379,2017-11-06 15:24:03,,0
79,108881,3,1,19,379,2017-11-06 15:25:15,,0
80,82650,3,1,25,379,2017-11-06 15:25:32,,0
81,172483,3,1,13,379,2017-11-06 15:26:02,,0
82,191894,3,1,18,379,2017-11-06 15:29:16,,0
83,109591,3,1,19,379,2017-11-06 15:30:16,,0
84,3425,3,1,17,379,2017-11-06 15:31:48,,0
85,72078,3,1,19,379,2017-11-06 15:33:52,,0
86,100224,3,1,13,379,2017-11-06 15:36:40,,0
87,197717,3,1,19,379,2017-11-06 15:37:18,,0
88,108942,3,1,13,379,2017-11-06 15:37:28,,0
89,203397,3,1,19,379,2017-11-06 15:38:24,,0
90,109591,3,1,19,379,2017-11-06 15:39:16,,0
91,116013,3,1,13,379,2017-11-06 15:39:18,,0
92,42102,3,1,13,379,2017-11-06 15:39:47,,0
93,110980,64,1,49,459,2017-11-06 15:40:30,,0
94,41981,3,1,13,379,2017-11-06 15:40:32,,0
95,44932,3,1,19,379,2017-11-06 15:40:33,,0
96,63839,3,1,19,379,2017-11-06 15:40:37,,0
97,62129,3,1,19,379,2017-11-06 15:40:40,,0
98,199328,64,1,22,459,2017-11-06 15:40:41,,0
99,127226,3,1,13,379,2017-11-06 15:40:56,,0
100,5323,64,1,13,459,2017-11-06 15:40:56,,0
101,135659,3,1,13,379,2017-11-06 15:40:59,,0
102,129733,3,1,13,379,2017-11-06 15:41:02,,0
103,204158,35,1,13,21,2017-11-06 15:41:07,2017-11-07 08:17:19,1
104,35610,3,1,19,379,2017-11-06 15:41:07,,0
105,89946,3,1,13,379,2017-11-06 15:41:07,,0
106,158472,3,1,18,379,2017-11-06 15:41:07,,0
107,182500,3,1,16,379,2017-11-06 15:41:09,,0
108,191321,64,1,10,459,2017-11-06 15:41:13,,0
109,92204,3,1,25,379,2017-11-06 15:41:14,,0
110,33390,3,1,13,379,2017-11-06 15:41:17,,0
111,32412,3,1,13,379,2017-11-06 15:41:18,,0
112,88180,3,1,20,379,2017-11-06 15:41:20,,0
113,143257,3,1,15,379,2017-11-06 15:41:21,,0
114,51590,3,1,19,379,2017-11-06 15:41:21,,0
115,90590,64,1,14,459,2017-11-06 15:41:27,,0
116,7426,3,1,13,379,2017-11-06 15:41:29,,0
117,120471,3,1,19,379,2017-11-06 15:41:29,,0
118,106437,3,1,13,379,2017-11-06 15:41:30,,0
119,78119,64,1,14,459,2017-11-06 15:41:32,,0
120,37714,3,1,17,379,2017-11-06 15:41:32,,0
121,176414,82,1,57,224,2017-11-06 15:41:34,,0
122,53964,3,1,18,379,2017-11-06 15:41:39,,0
123,62094,3,1,19,379,2017-11-06 15:41:40,,0
124,12461,3,1,13,379,2017-11-06 15:41:41,,0
125,147537,3,1,25,379,2017-11-06 15:41:45,,0
126,44033,3,1,8,379,2017-11-06 15:41:49,,0
127,54039,64,1,13,459,2017-11-06 15:41:49,,0
128,191797,3,1,15,379,2017-11-06 15:41:50,,0
129,155911,3,1,19,379,2017-11-06 15:41:51,,0
130,191846,3,1,20,379,2017-11-06 15:41:52,,0
131,31038,3,1,19,379,2017-11-06 15:41:52,,0
132,108881,3,1,13,379,2017-11-06 15:41:58,,0
133,119369,3,1,16,379,2017-11-06 15:41:58,,0
134,139298,3,1,13,379,2017-11-06 15:41:59,,0
135,194040,14,1,4,478,2017-11-06 15:42:08,,0
136,71367,14,1,13,478,2017-11-06 15:42:08,,0
137,73038,3,1,13,379,2017-11-06 15:42:10,,0
138,28578,3,1,15,379,2017-11-06 15:42:12,,0
139,44229,3,1,13,379,2017-11-06 15:42:18,,0
140,83252,3,1,16,379,2017-11-06 15:42:19,,0
141,191880,3,1,18,379,2017-11-06 15:42:20,,0
142,166616,3,1,19,379,2017-11-06 15:42:22,,0
143,3437,6,1,13,459,2017-11-06 15:42:32,,0
144,97553,3,1,13,379,2017-11-06 15:42:32,,0
145,43668,3,1,19,379,2017-11-06 15:42:37,,0
146,53964,3,1,18,379,2017-11-06 15:42:38,,0
147,166579,64,1,22,459,2017-11-06 15:42:42,,0
148,63657,3,1,19,379,2017-11-06 15:42:45,,0
149,85476,3,1,18,379,2017-11-06 15:42:48,,0
150,172498,3,1,20,379,2017-11-06 15:42:48,,0
151,194520,3,1,19,379,2017-11-06 15:42:49,,0
152,106524,3,1,8,379,2017-11-06 15:42:52,,0
153,74815,3,1,13,379,2017-11-06 15:42:55,,0
154,172465,3,1,13,379,2017-11-06 15:42:58,,0
155,125343,3,1,19,379,2017-11-06 15:43:01,,0
156,98875,3,1,13,379,2017-11-06 15:43:03,,0
157,162654,3,1,20,379,2017-11-06 15:43:05,,0
158,73646,3,1,23,379,2017-11-06 15:43:06,,0
159,54132,64,1,13,459,2017-11-06 15:43:16,,0
160,191797,3,1,19,379,2017-11-06 15:43:21,,0
161,106524,3,1,13,379,2017-11-06 15:43:21,,0
162,125275,3,1,17,379,2017-11-06 15:43:23,,0
163,106590,3,1,25,379,2017-11-06 15:43:23,,0
164,182818,3,1,19,379,2017-11-06 15:43:34,,0
165,115498,3,1,19,379,2017-11-06 15:43:36,,0
166,101072,3,1,19,379,2017-11-06 15:43:39,,0
167,108858,3,1,19,379,2017-11-06 15:43:45,,0
168,88100,3,1,13,379,2017-11-06 15:43:49,,0
169,139355,3,1,13,379,2017-11-06 15:43:51,,0
170,78910,64,1,44,459,2017-11-06 15:44:05,,0
171,172850,64,1,18,459,2017-11-06 15:44:07,,0
172,32412,3,1,19,379,2017-11-06 15:44:14,,0
173,154246,3,1,13,379,2017-11-06 15:44:27,,0
174,90053,3,1,18,379,2017-11-06 15:44:29,,0
175,201182,64,1,9,459,2017-11-06 15:44:29,,0
176,75305,64,1,22,459,2017-11-06 15:44:30,,0
177,192030,3,1,19,379,2017-11-06 15:44:31,,0
178,159258,3,1,13,379,2017-11-06 15:44:34,,0
179,50188,3,1,20,379,2017-11-06 15:44:41,,0
180,83366,3,1,18,379,2017-11-06 15:44:44,,0
181,46055,3,1,19,379,2017-11-06 15:44:47,,0
182,102264,14,1,2,478,2017-11-06 15:44:47,,0
183,191846,3,1,19,379,2017-11-06 15:44:48,,0
184,84774,3,1,13,379,2017-11-06 15:44:55,,0
185,74753,3,1,13,379,2017-11-06 15:45:00,,0
186,11901,64,1,22,459,2017-11-06 15:45:05,,0
187,2600,3,1,19,379,2017-11-06 15:45:08,,0
188,108913,3,1,19,379,2017-11-06 15:45:17,,0
189,87350,3,1,13,379,2017-11-06 15:45:17,,0
190,108942,3,1,19,379,2017-11-06 15:45:18,,0
191,183835,3,1,19,379,2017-11-06 15:45:20,,0
192,99130,3,1,13,379,2017-11-06 15:45:21,,0
193,159123,3,1,19,379,2017-11-06 15:45:25,,0
194,87568,6,1,22,459,2017-11-06 15:45:27,,0
195,67586,64,1,22,459,2017-11-06 15:45:31,,0
196,84774,3,1,13,379,2017-11-06 15:45:32,,0
197,159103,58,1,13,120,2017-11-06 15:45:33,,0
198,182113,3,1,19,379,2017-11-06 15:45:41,,0
199,130744,3,1,13,379,2017-11-06 15:45:43,,0
200,42102,3,1,13,379,2017-11-06 15:45:45,,0
201,96699,3,1,25,379,2017-11-06 15:45:45,,0
202,58028,64,1,13,459,2017-11-06 15:46:02,,0
203,109591,3,1,19,379,2017-11-06 15:46:02,,0
204,82211,3,1,18,379,2017-11-06 15:46:07,,0
205,108942,3,1,19,379,2017-11-06 15:46:12,,0
206,86946,3,1,19,379,2017-11-06 15:46:14,,0
207,48282,14,1,13,478,2017-11-06 15:46:15,,0
208,108881,3,1,13,379,2017-11-06 15:46:15,,0
209,133500,3,1,13,379,2017-11-06 15:46:16,,0
210,92873,64,1,22,459,2017-11-06 15:46:16,,0
211,94733,64,1,58,459,2017-11-06 15:46:17,,0
212,76683,3,1,13,379,2017-11-06 15:46:22,,0
213,76683,3,1,13,379,2017-11-06 15:46:25,,0
214,49325,3,1,17,379,2017-11-06 15:46:25,,0
215,73040,3,1,18,379,2017-11-06 15:46:26,,0
216,110211,64,1,13,459,2017-11-06 15:46:32,,0
217,113157,3,1,25,379,2017-11-06 15:46:32,,0
218,12893,3,1,13,379,2017-11-06 15:46:34,,0
219,87907,3,1,13,379,2017-11-06 15:46:38,,0
220,143577,3,1,19,379,2017-11-06 15:46:41,,0
221,106524,3,1,19,379,2017-11-06 15:46:44,,0
222,138573,58,1,13,120,2017-11-06 15:46:45,,0
223,172483,3,1,13,379,2017-11-06 15:46:45,,0
224,103444,3,1,19,379,2017-11-06 15:46:45,,0
225,68923,3,1,13,379,2017-11-06 15:46:47,,0
226,165679,3,1,23,379,2017-11-06 15:46:51,,0
227,108040,3,1,8,379,2017-11-06 15:46:52,,0
228,108040,3,1,8,379,2017-11-06 15:46:52,,0
229,83591,3,1,19,379,2017-11-06 15:46:57,,0
230,62379,3,1,13,379,2017-11-06 15:46:58,,0
231,44645,3,1,19,379,2017-11-06 15:47:01,,0
232,88283,82,1,57,224,2017-11-06 15:47:02,,0
233,78853,64,1,4,459,2017-11-06 15:47:05,,0
234,94936,3,1,19,379,2017-11-06 15:47:07,,0
235,191846,3,1,13,379,2017-11-06 15:47:18,,0
236,92799,3,1,15,379,2017-11-06 15:47:22,,0
237,28739,3,1,19,379,2017-11-06 15:47:25,,0
238,53715,3,1,19,379,2017-11-06 15:47:28,,0
239,44645,3,1,19,379,2017-11-06 15:47:29,,0
240,27513,3,1,13,379,2017-11-06 15:47:34,,0
241,96099,64,1,2,459,2017-11-06 15:47:35,,0
242,119369,3,1,19,379,2017-11-06 15:47:37,,0
243,119369,3,1,19,379,2017-11-06 15:47:40,,0
244,153181,3,1,13,379,2017-11-06 15:47:41,,0
245,174717,3,1,19,379,2017-11-06 15:47:50,,0
246,182500,3,1,13,379,2017-11-06 15:47:51,,0
247,84774,3,1,19,379,2017-11-06 15:47:52,,0
248,7172,3,1,17,379,2017-11-06 15:48:00,,0
249,119349,3,1,25,379,2017-11-06 15:48:09,,0
250,102884,3,1,18,379,2017-11-06 15:48:11,,0
251,121259,3,1,13,379,2017-11-06 15:48:18,,0
252,2564,3,1,8,379,2017-11-06 15:48:21,,0
253,35948,3,1,19,379,2017-11-06 15:48:22,,0
254,99653,3,1,18,379,2017-11-06 15:48:25,,0
255,37140,3,1,13,379,2017-11-06 15:48:32,,0
256,185808,64,1,22,459,2017-11-06 15:48:33,,0
257,149597,3,1,19,379,2017-11-06 15:48:33,,0
258,117605,3,1,19,379,2017-11-06 15:48:34,,0
259,73821,3,1,8,379,2017-11-06 15:48:35,,0
260,85896,3,1,13,379,2017-11-06 15:48:37,,0
261,174926,3,1,13,379,2017-11-06 15:48:38,,0
262,212224,3,1,13,379,2017-11-06 15:48:39,,0
263,83375,3,1,8,379,2017-11-06 15:48:40,,0
264,25931,3,1,13,379,2017-11-06 15:48:40,,0
265,84644,3,1,19,379,2017-11-06 15:48:40,,0
266,28578,3,1,15,379,2017-11-06 15:48:48,,0
267,44229,3,1,13,379,2017-11-06 15:48:49,,0
268,22333,3,1,19,379,2017-11-06 15:48:50,,0
269,121505,3,1,13,379,2017-11-06 15:48:53,,0
270,129675,3,1,13,379,2017-11-06 15:48:54,,0
271,108942,3,1,19,379,2017-11-06 15:49:03,,0
272,197093,3,1,19,379,2017-11-06 15:49:04,,0
273,17231,3,1,13,379,2017-11-06 15:49:06,,0
274,160874,3,1,19,379,2017-11-06 15:49:11,,0
275,158375,3,1,19,379,2017-11-06 15:49:12,,0
276,73145,3,1,13,379,2017-11-06 15:49:12,,0
277,148516,3,1,19,379,2017-11-06 15:49:14,,0
278,109243,14,1,13,478,2017-11-06 15:49:24,,0
279,974,3,1,13,379,2017-11-06 15:49:27,,0
280,53715,3,1,18,379,2017-11-06 15:49:34,,0
281,84942,3,1,13,379,2017-11-06 15:49:37,,0
282,159217,3,1,13,379,2017-11-06 15:49:38,,0
283,209663,3,1,13,379,2017-11-06 15:49:43,,0
284,54065,64,1,7,459,2017-11-06 15:49:45,,0
285,100054,3,1,18,379,2017-11-06 15:49:45,,0
286,50069,3,1,8,379,2017-11-06 15:49:46,,0
287,144619,3,1,25,379,2017-11-06 15:49:51,,0
288,59395,64,1,13,459,2017-11-06 15:49:52,,0
289,131550,3,1,19,379,2017-11-06 15:49:59,,0
290,115724,64,1,3,459,2017-11-06 15:50:00,,0
291,106493,3,1,20,379,2017-11-06 15:50:06,,0
292,47595,3,1,13,379,2017-11-06 15:50:11,,0
293,131821,64,1,17,459,2017-11-06 15:50:14,,0
294,85154,3,1,13,379,2017-11-06 15:50:14,,0
295,56430,3,1,13,379,2017-11-06 15:50:17,,0
296,44744,14,1,19,478,2017-11-06 15:50:19,,0
297,71507,3,1,13,379,2017-11-06 15:50:20,,0
298,98530,3,1,19,379,2017-11-06 15:50:26,,0
299,49305,3,1,25,379,2017-11-06 15:50:26,,0
300,179519,3,1,20,379,2017-11-06 15:50:26,,0
301,200957,64,1,42,459,2017-11-06 15:50:27,,0
302,210011,3,1,13,379,2017-11-06 15:50:29,,0
303,167543,3,1,13,379,2017-11-06 15:50:29,,0
304,17491,6,1,19,459,2017-11-06 15:50:34,,0
305,211763,3,1,13,379,2017-11-06 15:50:35,,0
306,108858,3,1,19,379,2017-11-06 15:50:37,,0
307,148427,3,1,19,379,2017-11-06 15:50:42,,0
308,210488,3,1,13,379,2017-11-06 15:50:42,,0
309,1025,3,1,13,379,2017-11-06 15:50:45,,0
310,41881,3,1,17,379,2017-11-06 15:50:49,,0
311,23892,3,1,19,379,2017-11-06 15:50:54,,0
312,43686,14,1,19,478,2017-11-06 15:50:56,,0
313,5270,3,1,13,379,2017-11-06 15:50:58,,0
314,31267,3,1,15,379,2017-11-06 15:50:59,,0
315,115262,64,1,10,459,2017-11-06 15:51:10,,0
316,167739,3,1,13,379,2017-11-06 15:51:12,,0
317,141091,3,1,19,379,2017-11-06 15:51:17,,0
318,144442,64,1,9,459,2017-11-06 15:51:18,,0
319,153590,3,1,15,379,2017-11-06 15:51:20,,0
320,5314,64,1,22,459,2017-11-06 15:51:23,,0
321,64567,64,1,18,459,2017-11-06 15:51:23,,0
322,111116,3,1,19,379,2017-11-06 15:51:24,,0
323,51590,3,1,19,379,2017-11-06 15:51:31,,0
324,913,3,1,20,379,2017-11-06 15:51:33,,0
325,138585,3,1,13,379,2017-11-06 15:51:34,,0
326,51680,3,1,19,379,2017-11-06 15:51:36,,0
327,89620,3,1,19,379,2017-11-06 15:51:37,,0
328,51590,3,1,19,379,2017-11-06 15:51:42,,0
329,22522,3,1,19,379,2017-11-06 15:51:47,,0
330,179012,3,1,19,379,2017-11-06 15:51:49,,0
331,165267,58,1,13,120,2017-11-06 15:51:51,,0
332,129614,3,1,19,379,2017-11-06 15:51:52,,0
333,18787,3,1,17,379,2017-11-06 15:51:57,,0
334,185436,14,1,17,478,2017-11-06 15:51:59,,0
335,113979,3,1,19,379,2017-11-06 15:52:00,,0
336,101401,3,1,19,379,2017-11-06 15:52:01,,0
337,53964,3,1,13,379,2017-11-06 15:52:13,,0
338,155147,3,1,13,379,2017-11-06 15:52:19,,0
339,99914,64,1,22,459,2017-11-06 15:52:35,,0
340,38546,3,1,18,379,2017-11-06 15:52:35,,0
341,8413,3,1,19,379,2017-11-06 15:52:38,,0
342,99219,3,1,25,379,2017-11-06 15:52:41,,0
343,32381,3,1,13,379,2017-11-06 15:52:48,,0
344,111025,64,1,10,459,2017-11-06 15:52:52,,0
345,194519,3,1,25,379,2017-11-06 15:52:52,,0
346,142814,3,1,13,379,2017-11-06 15:52:55,,0
347,150814,3,1,13,379,2017-11-06 15:52:59,,0
348,53964,3,1,13,379,2017-11-06 15:52:59,,0
349,45561,3,1,19,379,2017-11-06 15:53:02,,0
350,16702,3,1,19,379,2017-11-06 15:53:16,,0
351,172483,3,1,13,379,2017-11-06 15:53:17,,0
352,166616,3,1,19,379,2017-11-06 15:53:26,,0
353,64936,3,1,19,379,2017-11-06 15:53:29,,0
354,197356,3,1,8,379,2017-11-06 15:53:31,,0
355,89794,3,1,19,379,2017-11-06 15:53:34,,0
356,177984,3,1,20,379,2017-11-06 15:53:39,,0
357,60087,64,1,10,459,2017-11-06 15:53:40,,0
358,83500,3,1,19,379,2017-11-06 15:53:43,,0
359,83500,3,1,19,379,2017-11-06 15:53:43,,0
360,83500,3,1,19,379,2017-11-06 15:53:43,,0
361,108881,3,1,13,379,2017-11-06 15:53:46,,0
362,84774,3,1,16,379,2017-11-06 15:53:49,,0
363,48172,64,1,10,459,2017-11-06 15:54:01,,0
364,62094,3,1,19,379,2017-11-06 15:54:02,,0
365,50223,3,1,20,379,2017-11-06 15:54:03,,0
366,162640,58,1,9,120,2017-11-06 15:54:06,,0
367,104033,2,1,57,224,2017-11-06 15:54:12,,0
368,167836,3,1,18,379,2017-11-06 15:54:14,,0
369,105981,3,1,8,379,2017-11-06 15:54:16,,0
370,99219,3,1,25,379,2017-11-06 15:54:18,,0
371,103463,14,1,19,478,2017-11-06 15:54:19,,0
372,171690,3,1,13,379,2017-11-06 15:54:27,,0
373,44615,3,1,13,379,2017-11-06 15:54:35,,0
374,42799,3,1,13,379,2017-11-06 15:54:40,,0
375,99573,3,1,13,379,2017-11-06 15:54:45,,0
376,203640,64,1,20,459,2017-11-06 15:54:49,,0
377,35793,3,1,13,379,2017-11-06 15:54:49,,0
378,134086,3,1,13,379,2017-11-06 15:54:51,,0
379,106042,3,1,17,379,2017-11-06 15:54:52,,0
380,114890,64,1,9,459,2017-11-06 15:54:54,,0
381,133478,3,1,19,379,2017-11-06 15:54:56,,0
382,186555,3,1,13,379,2017-11-06 15:54:57,,0
383,192756,64,1,41,459,2017-11-06 15:54:59,,0
384,35300,3,1,13,379,2017-11-06 15:55:04,,0
385,35300,3,1,13,379,2017-11-06 15:55:04,,0
386,203803,3,1,13,379,2017-11-06 15:55:05,,0
387,16702,3,1,23,379,2017-11-06 15:55:05,,0
388,87157,64,1,36,459,2017-11-06 15:55:31,,0
389,53715,3,1,13,379,2017-11-06 15:55:36,,0
390,122656,3,1,13,379,2017-11-06 15:55:37,,0
391,38143,3,1,19,379,2017-11-06 15:55:41,,0
392,122346,64,1,6,459,2017-11-06 15:55:43,,0
393,191797,3,1,18,379,2017-11-06 15:55:49,,0
394,158312,3,1,20,379,2017-11-06 15:55:53,,0
395,176758,3,1,19,379,2017-11-06 15:55:53,,0
396,172498,3,1,13,379,2017-11-06 15:55:54,,0
397,124392,3,1,15,379,2017-11-06 15:55:56,,0
398,134661,3,1,13,379,2017-11-06 15:56:09,,0
399,12955,3,1,13,379,2017-11-06 15:56:12,,0
400,12955,3,1,13,379,2017-11-06 15:56:12,,0
401,44615,3,1,19,379,2017-11-06 15:56:17,,0
402,167543,3,1,13,379,2017-11-06 15:56:17,,0
403,148454,3,1,18,379,2017-11-06 15:56:22,,0
404,200485,3,1,19,379,2017-11-06 15:56:33,,0
405,133504,3,1,19,379,2017-11-06 15:56:37,,0
406,190738,3,1,19,379,2017-11-06 15:56:39,,0
407,88082,3,1,16,379,2017-11-06 15:56:40,,0
408,98207,14,1,17,478,2017-11-06 15:56:46,,0
409,98302,3,1,13,379,2017-11-06 15:56:46,,0
410,99653,3,1,18,379,2017-11-06 15:56:47,,0
411,162883,64,1,22,459,2017-11-06 15:56:48,,0
412,175388,3,1,19,379,2017-11-06 15:56:51,,0
413,33629,3,1,17,379,2017-11-06 15:56:58,,0
414,86402,536,1,19,21,2017-11-06 15:57:00,,0
415,147509,3,1,13,379,2017-11-06 15:57:01,,0
416,81514,64,1,28,459,2017-11-06 15:57:03,,0
417,172498,3,1,13,379,2017-11-06 15:57:03,,0
418,7172,3,1,17,379,2017-11-06 15:57:07,,0
419,47595,3,1,13,379,2017-11-06 15:57:07,,0
420,73015,3,1,13,379,2017-11-06 15:57:08,,0
421,17105,3,1,19,379,2017-11-06 15:57:17,,0
422,119289,3,1,13,379,2017-11-06 15:57:20,,0
423,173439,3,1,19,379,2017-11-06 15:57:23,,0
424,197178,3,1,13,379,2017-11-06 15:57:23,,0
425,197365,21,1,10,128,2017-11-06 15:57:25,,0
426,194684,3,1,25,379,2017-11-06 15:57:26,,0
427,117226,3,1,19,379,2017-11-06 15:57:27,,0
428,107922,3,1,19,379,2017-11-06 15:57:30,,0
429,85154,3,1,13,379,2017-11-06 15:57:31,,0
430,111153,3,1,17,379,2017-11-06 15:57:31,,0
431,79213,14,1,19,478,2017-11-06 15:57:36,,0
432,83306,3,1,13,379,2017-11-06 15:57:44,,0
433,191780,3,1,8,379,2017-11-06 15:57:46,,0
434,119349,3,1,17,379,2017-11-06 15:57:47,,0
435,180280,82,1,57,224,2017-11-06 15:57:51,,0
436,168810,3,1,23,379,2017-11-06 15:57:54,,0
437,47277,64,1,13,459,2017-11-06 15:57:57,,0
438,172483,3,1,13,379,2017-11-06 15:57:59,,0
439,12470,3,1,25,379,2017-11-06 15:58:00,,0
440,142417,3,1,8,379,2017-11-06 15:58:08,,0
441,47708,3,1,18,379,2017-11-06 15:58:12,,0
442,108893,64,1,22,459,2017-11-06 15:58:12,,0
443,116239,3,1,19,379,2017-11-06 15:58:17,,0
444,182500,3,1,17,379,2017-11-06 15:58:22,,0
445,163899,58,1,10,120,2017-11-06 15:58:23,,0
446,108913,3,1,13,379,2017-11-06 15:58:23,,0
447,108881,3,1,13,379,2017-11-06 15:58:26,,0
448,10813,64,1,22,459,2017-11-06 15:58:27,,0
449,107922,3,1,19,379,2017-11-06 15:58:34,,0
450,83366,3,1,13,379,2017-11-06 15:58:39,,0
451,133500,3,1,17,379,2017-11-06 15:58:40,,0
452,147689,14,1,8,478,2017-11-06 15:58:40,,0
453,147948,3,1,19,379,2017-11-06 15:58:41,,0
454,37309,3,1,15,379,2017-11-06 15:58:44,,0
455,89845,3,1,18,379,2017-11-06 15:58:48,,0
456,89880,64,1,9,459,2017-11-06 15:58:48,,0
457,78349,3,1,19,379,2017-11-06 15:58:49,,0
458,155911,3,1,13,379,2017-11-06 15:58:49,,0
459,129395,3,1,19,379,2017-11-06 15:58:52,,0
460,172522,3,1,13,379,2017-11-06 15:58:58,,0
461,172483,3,1,15,379,2017-11-06 15:59:01,,0
462,105612,3,1,19,379,2017-11-06 15:59:01,,0
463,108913,3,1,13,379,2017-11-06 15:59:02,,0
464,108913,3,1,13,379,2017-11-06 15:59:02,,0
465,119349,3,1,15,379,2017-11-06 15:59:04,,0
466,119349,3,1,15,379,2017-11-06 15:59:05,,0
467,172483,3,1,13,379,2017-11-06 15:59:07,,0
468,84774,3,1,13,379,2017-11-06 15:59:11,,0
469,16907,64,1,10,459,2017-11-06 15:59:12,,0
470,29651,3,1,19,379,2017-11-06 15:59:16,,0
471,87539,3,1,20,379,2017-11-06 15:59:20,,0
472,149177,64,1,9,459,2017-11-06 15:59:29,,0
473,191863,3,1,19,379,2017-11-06 15:59:31,,0
474,211910,3,1,23,379,2017-11-06 15:59:35,,0
475,119289,3,1,15,379,2017-11-06 15:59:36,,0
476,83206,3,1,13,379,2017-11-06 15:59:38,,0
477,111672,3,1,19,379,2017-11-06 15:59:49,,0
478,17357,3,1,13,379,2017-11-06 15:59:51,,0
479,36340,3,1,13,379,2017-11-06 15:59:51,,0
