,click_id,ip,app,device,os,channel,click_time
95,95,41399,9,1,8,445,2017-11-10 04:00:00
96,96,44574,26,1,16,121,2017-11-10 04:00:00
97,97,81737,18,1,19,379,2017-11-10 04:00:00
98,98,9412,15,1,17,386,2017-11-10 04:00:00
99,99,58280,6,1,19,125,2017-11-10 04:00:00
100,100,5704,9,1,13,489,2017-11-10 04:00:00
101,101,21654,1,1,19,134,2017-11-10 04:00:00
102,102,4259,11,1,13,319,2017-11-10 04:00:00
103,103,17130,15,1,15,265,2017-11-10 04:00:00
104,104,34432,12,1,17,205,2017-11-10 04:00:00
105,105,46581,11,1,13,173,2017-11-10 04:00:00
106,106,90096,23,1,35,153,2017-11-10 04:00:00
107,107,27782,3,1,20,480,2017-11-10 04:00:00
108,108,50284,6,1,25,459,2017-11-10 04:00:00
109,109,29556,22,1,13,116,2017-11-10 04:00:00
110,110,13578,3,1,17,205,2017-11-10 04:00:00
111,111,7252,14,1,31,379,2017-11-10 04:00:00
112,112,114663,21,1,13,232,2017-11-10 04:00:00
113,113,78878,23,1,47,153,2017-11-10 04:00:00
114,114,12315,2,1,18,435,2017-11-10 04:00:00
115,115,95155,3,1,16,115,2017-11-10 04:00:00
116,116,30928,9,1,10,334,2017-11-10 04:00:00
117,117,39143,3,1,22,19,2017-11-10 04:00:00
118,118,55032,11,1,14,319,2017-11-10 04:00:00
119,119,79448,12,1,18,265,2017-11-10 04:00:00
120,120,2944,23,1,16,153,2017-11-10 04:00:00
121,121,55100,15,1,13,386,2017-11-10 04:00:00
122,122,56745,18,1,17,107,2017-11-10 04:00:00
123,123,92307,1,1,13,124,2017-11-10 04:00:00
124,124,29330,9,1,58,244,2017-11-10 04:00:00
125,125,13027,9,1,19,127,2017-11-10 04:00:00
126,126,77219,3,1,13,379,2017-11-10 04:00:00
127,127,15914,18,1,13,439,2017-11-10 04:00:00
128,128,9900,9,1,19,334,2017-11-10 04:00:00
129,129,17292,14,1,13,134,2017-11-10 04:00:00
130,130,108872,9,1,14,244,2017-11-10 04:00:00
131,131,116719,15,1,19,130,2017-11-10 04:00:00
132,132,40631,2,1,6,477,2017-11-10 04:00:00
133,133,29330,9,1,58,232,2017-11-10 04:00:00
134,134,104791,17,1,13,128,2017-11-10 04:00:00
135,135,8318,2,1,41,219,2017-11-10 04:00:00
136,136,92452,18,1,17,107,2017-11-10 04:00:00
137,137,5314,27,1,19,153,2017-11-10 04:00:00
138,138,3859,8,1,19,145,2017-11-10 04:00:00
139,139,44443,23,1,13,153,2017-11-10 04:00:00
140,140,71403,13,1,15,469,2017-11-10 04:00:00
141,141,43793,2,1,1,122,2017-11-10 04:00:00
142,142,18246,9,1,19,107,2017-11-10 04:00:00
143,143,63322,20,1,13,259,2017-11-10 04:00:00
144,144,125042,2,1,13,477,2017-11-10 04:00:00
145,145,119285,8,1,23,145,2017-11-10 04:00:00
146,146,64354,9,1,19,334,2017-11-10 04:00:00
147,147,74701,18,1,41,439,2017-11-10 04:00:00
148,148,118956,15,1,13,278,2017-11-10 04:00:00
149,149,2872,3,1,19,480,2017-11-10 04:00:00
150,154,115439,9,2,9,234,2017-11-10 04:00:00
151,153,79828,9,1,49,232,2017-11-10 04:00:00
152,150,28198,1,1,18,135,2017-11-10 04:00:00
153,151,86160,9,1,19,466,2017-11-10 04:00:00
154,152,5499,27,1,15,122,2017-11-10 04:00:00
155,155,109620,2,1,13,122,2017-11-10 04:00:00
156,156,48476,11,1,12,122,2017-11-10 04:00:00
157,157,51034,14,1,25,349,2017-11-10 04:00:00
158,158,20511,1,1,13,134,2017-11-10 04:00:00
159,159,17149,18,1,15,121,2017-11-10 04:00:00
160,160,97744,17,1,11,128,2017-11-10 04:00:00
161,161,75843,18,1,19,134,2017-11-10 04:00:00
162,162,41399,25,1,8,259,2017-11-10 04:00:00
163,163,94147,18,1,19,107,2017-11-10 04:00:00
164,164,63322,24,1,13,105,2017-11-10 04:00:00
165,165,113087,15,1,19,265,2017-11-10 04:00:00
166,166,41399,25,1,8,259,2017-11-10 04:00:00
167,167,91712,2,1,41,205,2017-11-10 04:00:00
168,170,110009,11,1,15,319,2017-11-10 04:00:00
169,168,7393,18,1,19,134,2017-11-10 04:00:00
170,169,108655,14,1,10,401,2017-11-10 04:00:00
171,171,114220,25,1,13,259,2017-11-10 04:00:00
172,172,1700,3,1,18,442,2017-11-10 04:00:00
173,173,93739,17,1,19,128,2017-11-10 04:00:00
174,174,2076,3,1,19,19,2017-11-10 04:00:00
175,175,54741,2,1,32,237,2017-11-10 04:00:00
176,177,5147,18,1,11,134,2017-11-10 04:00:00
177,176,93263,2,1,13,205,2017-11-10 04:00:00
178,178,52080,18,1,12,134,2017-11-10 04:00:00
179,179,106674,9,1,25,127,2017-11-10 04:00:00
180,180,116290,5,1,5,377,2017-11-10 04:00:00
181,181,79271,26,1,19,121,2017-11-10 04:00:00
182,182,112733,3,1,19,173,2017-11-10 04:00:00
183,183,79665,6,1,17,459,2017-11-10 04:00:00
184,184,53479,25,1,13,259,2017-11-10 04:00:00
185,185,31945,2,1,19,219,2017-11-10 04:00:00
186,186,93837,8,1,22,145,2017-11-10 04:00:00
187,187,117056,18,1,17,134,2017-11-10 04:00:00
188,188,89447,18,1,8,107,2017-11-10 04:00:00
189,189,78928,2,1,18,435,2017-11-10 04:00:00
190,190,117156,2,2,19,243,2017-11-10 04:00:00
191,191,48718,14,1,19,134,2017-11-10 04:00:00
192,192,74278,3,1,13,137,2017-11-10 04:00:00
193,194,104235,3,1,18,379,2017-11-10 04:00:00
194,193,5178,3,1,23,480,2017-11-10 04:00:00
195,195,30897,12,1,19,19,2017-11-10 04:00:00
196,196,75355,11,1,19,319,2017-11-10 04:00:00
197,197,34840,8,1,19,145,2017-11-10 04:00:00
198,198,95155,9,1,16,442,2017-11-10 04:00:00
199,199,82870,3,1,16,130,2017-11-10 04:00:00
200,200,40931,3,1,13,379,2017-11-10 04:00:00
201,201,31283,1,1,19,452,2017-11-10 04:00:00
202,202,59397,21,1,19,232,2017-11-10 04:00:00
203,203,74103,12,1,18,497,2017-11-10 04:00:00
204,204,106707,15,1,19,430,2017-11-10 04:00:00
205,205,41313,27,1,9,122,2017-11-10 04:00:00
206,206,125730,28,1,19,135,2017-11-10 04:00:00
207,207,20503,12,1,18,178,2017-11-10 04:00:00
208,208,17149,11,1,13,137,2017-11-10 04:00:00
209,209,92673,21,1,6,232,2017-11-10 04:00:00
210,210,61061,23,1,10,153,2017-11-10 04:00:00
211,211,69569,15,1,13,265,2017-11-10 04:00:00
212,212,1547,14,1,13,489,2017-11-10 04:00:00
213,213,79665,8,1,17,145,2017-11-10 04:00:00
214,214,41866,12,1,19,259,2017-11-10 04:00:00
215,215,2095,23,1,10,153,2017-11-10 04:00:00
216,216,8246,15,1,15,265,2017-11-10 04:00:00
217,217,387,2,1,17,122,2017-11-10 04:00:00
218,218,59045,15,1,1,3,2017-11-10 04:00:00
219,219,98028,20,1,17,478,2017-11-10 04:00:00
220,220,33974,3,1,19,130,2017-11-10 04:00:00
221,221,8246,3,1,15,480,2017-11-10 04:00:00
222,222,45256,6,1,18,459,2017-11-10 04:00:00
223,223,28359,15,1,13,480,2017-11-10 04:00:00
224,224,123739,9,1,3,215,2017-11-10 04:00:00
225,225,95104,2,1,6,477,2017-11-10 04:00:00
226,226,117156,12,2,19,135,2017-11-10 04:00:00
227,227,29330,15,1,58,140,2017-11-10 04:00:00
228,228,93739,6,1,19,459,2017-11-10 04:00:00
229,230,69569,15,1,13,315,2017-11-10 04:00:00
230,229,5348,25,1,19,259,2017-11-10 04:00:00
231,231,46193,21,1,27,232,2017-11-10 04:00:00
232,232,43655,12,1,15,178,2017-11-10 04:00:00
233,233,73238,29,2,79,343,2017-11-10 04:00:00
234,234,42138,9,1,30,215,2017-11-10 04:00:00
235,235,61667,14,1,6,463,2017-11-10 04:00:00
236,236,68616,3,1,1,409,2017-11-10 04:00:00
237,237,49528,13,1,13,477,2017-11-10 04:00:00
238,239,51379,12,1,23,259,2017-11-10 04:00:00
239,238,27597,9,1,13,107,2017-11-10 04:00:00
240,240,109477,2,1,23,435,2017-11-10 04:00:00
241,241,98028,20,1,15,478,2017-11-10 04:00:00
242,242,119262,10,1,9,377,2017-11-10 04:00:00
243,243,105348,3,1,31,409,2017-11-10 04:00:00
244,244,109800,3,1,1,137,2017-11-10 04:00:00
245,245,85512,15,1,13,430,2017-11-10 04:00:00
246,246,40001,9,1,13,442,2017-11-10 04:00:00
247,247,117505,18,1,22,134,2017-11-10 04:00:00
248,249,86730,15,1,13,315,2017-11-10 04:00:00
249,248,5147,25,1,19,259,2017-11-10 04:00:00
250,250,40317,15,1,19,278,2017-11-10 04:00:00
251,251,125901,2,1,19,236,2017-11-10 04:00:00
252,252,28097,18,1,13,107,2017-11-10 04:00:00
253,253,52143,11,1,8,137,2017-11-10 04:00:00
254,254,55160,23,1,41,153,2017-11-10 04:00:00
255,255,39330,18,1,46,134,2017-11-10 04:00:00
256,256,106310,12,1,23,259,2017-11-10 04:00:00
257,257,42651,17,1,19,134,2017-11-10 04:00:00
258,258,48864,18,1,8,107,2017-11-10 04:00:00
259,259,16994,18,1,17,107,2017-11-10 04:00:00
260,260,33571,2,1,19,237,2017-11-10 04:00:00
261,261,79121,2,1,14,205,2017-11-10 04:00:00
262,262,86886,2,1,17,469,2017-11-10 04:00:00
263,263,12031,3,1,19,452,2017-11-10 04:00:00
264,264,96195,8,1,41,145,2017-11-10 04:00:00
265,265,81068,9,1,13,127,2017-11-10 04:00:00
266,266,25737,3,1,19,402,2017-11-10 04:00:00
267,267,101564,12,1,13,481,2017-11-10 04:00:00
268,268,12117,2,1,19,122,2017-11-10 04:00:00
269,269,33104,14,1,41,442,2017-11-10 04:00:00
270,270,88143,12,1,32,328,2017-11-10 04:00:00
271,271,119285,12,1,23,178,2017-11-10 04:00:00
272,272,58412,14,1,22,134,2017-11-10 04:00:00
273,273,72349,14,1,19,349,2017-11-10 04:00:00
274,275,22259,13,1,22,477,2017-11-10 04:00:00
275,274,25373,11,1,18,319,2017-11-10 04:00:00
276,276,54741,11,1,32,137,2017-11-10 04:00:00
277,277,95326,9,1,18,107,2017-11-10 04:00:00
278,278,64386,13,1,47,469,2017-11-10 04:00:00
279,279,107596,3,1,19,466,2017-11-10 04:00:00
280,282,43655,8,1,15,145,2017-11-10 04:00:00
281,280,125580,3,1,19,137,2017-11-10 04:00:00
282,281,72175,9,1,19,127,2017-11-10 04:00:00
283,283,39090,9,1,23,127,2017-11-10 04:00:00
284,285,115292,12,1,22,424,2017-11-10 04:00:00
285,284,90891,9,1,43,107,2017-11-10 04:00:00
286,286,14664,12,1,31,259,2017-11-10 04:00:00
287,287,36448,18,1,13,134,2017-11-10 04:00:00
288,288,73487,14,1,19,379,2017-11-10 04:00:00
289,289,76736,3,1,13,205,2017-11-10 04:00:00
290,290,54490,23,1,27,153,2017-11-10 04:00:00
291,291,12913,3,1,28,205,2017-11-10 04:00:00
292,292,52024,14,1,35,489,2017-11-10 04:00:00
293,293,2201,14,1,42,489,2017-11-10 04:00:00
294,295,66000,3,1,23,409,2017-11-10 04:00:00
295,294,9412,14,1,17,379,2017-11-10 04:00:00
296,296,7598,15,1,28,3,2017-11-10 04:00:00
297,297,44214,3,2,18,137,2017-11-10 04:00:00
298,298,48282,14,1,19,379,2017-11-10 04:00:00
299,299,52670,26,1,25,121,2017-11-10 04:00:00
300,300,64265,18,1,13,121,2017-11-10 04:00:00
301,301,118252,3,1,18,115,2017-11-10 04:00:00
302,302,37162,3,1,19,442,2017-11-10 04:00:00
303,304,37801,8,1,13,145,2017-11-10 04:00:00
304,303,4475,18,1,19,107,2017-11-10 04:00:00
305,305,28295,11,1,19,481,2017-11-10 04:00:00
306,306,88281,9,2,13,215,2017-11-10 04:00:00
307,307,115584,3,1,41,211,2017-11-10 04:00:00
308,308,33835,12,1,19,409,2017-11-10 04:00:00
309,309,37338,9,1,8,232,2017-11-10 04:00:00
310,310,18868,3,1,13,409,2017-11-10 04:00:00
311,311,18715,18,1,8,376,2017-11-10 04:00:00
312,312,7441,3,1,32,130,2017-11-10 04:00:00
313,314,29047,15,1,53,386,2017-11-10 04:00:00
314,313,109800,2,1,1,452,2017-11-10 04:00:00
315,315,45745,14,1,25,439,2017-11-10 04:00:00
316,316,99979,2,1,44,237,2017-11-10 04:00:00
317,317,51909,15,1,19,315,2017-11-10 04:00:00
318,318,7252,2,1,31,435,2017-11-10 04:00:00
319,319,5178,10,1,13,377,2017-11-10 04:00:00
320,320,14617,12,1,47,265,2017-11-10 04:00:00
321,322,88143,2,1,32,212,2017-11-10 04:00:00
322,321,118367,3,1,18,135,2017-11-10 04:00:00
323,323,93837,12,1,22,178,2017-11-10 04:00:00
324,324,81971,9,1,15,127,2017-11-10 04:00:00
325,325,86588,20,1,12,259,2017-11-10 04:00:00
326,326,105475,14,1,13,489,2017-11-10 04:00:00
327,327,38146,2,1,8,377,2017-11-10 04:00:00
328,328,91734,6,1,17,459,2017-11-10 04:00:00
329,329,51379,9,1,23,442,2017-11-10 04:00:00
330,330,103817,18,1,28,107,2017-11-10 04:00:00
331,331,16525,18,1,2,107,2017-11-10 04:00:00
332,332,116713,3,1,19,424,2017-11-10 04:00:00
333,333,49289,18,1,10,107,2017-11-10 04:00:00
334,334,9419,8,1,12,145,2017-11-10 04:00:00
335,335,9224,18,1,19,439,2017-11-10 04:00:00
336,336,42164,12,1,19,178,2017-11-10 04:00:00
337,337,111955,6,1,42,459,2017-11-10 04:00:00
338,338,2415,18,1,20,107,2017-11-10 04:00:00
339,340,64060,14,1,53,442,2017-11-10 04:00:00
340,339,30834,18,1,19,439,2017-11-10 04:00:00
341,341,27499,14,1,19,442,2017-11-10 04:00:00
342,342,63358,1,1,13,153,2017-11-10 04:00:00
343,343,74683,2,1,19,122,2017-11-10 04:00:00
344,344,79277,1,1,13,135,2017-11-10 04:00:00
345,345,19088,11,1,22,469,2017-11-10 04:00:00
346,346,83599,3,1,10,19,2017-11-10 04:00:00
347,347,120075,12,1,8,259,2017-11-10 04:00:00
348,348,58288,61,1,12,21,2017-11-10 04:00:00
349,349,8469,9,1,14,232,2017-11-10 04:00:00
350,350,90855,3,1,8,153,2017-11-10 04:00:00
351,351,29738,8,1,31,145,2017-11-10 04:00:00
352,352,17130,14,1,15,480,2017-11-10 04:00:00
353,353,52143,2,1,8,237,2017-11-10 04:00:00
354,355,22565,3,1,19,19,2017-11-10 04:00:00
355,354,43661,13,1,13,477,2017-11-10 04:00:00
356,356,34840,12,1,19,178,2017-11-10 04:00:00
357,358,89805,18,1,8,376,2017-11-10 04:00:00
358,357,107721,21,1,25,128,2017-11-10 04:00:00
359,359,112513,28,1,15,135,2017-11-10 04:00:00
360,360,23964,11,1,35,487,2017-11-10 04:00:00
361,361,107898,8,1,10,145,2017-11-10 04:00:00
362,362,116821,9,1,41,127,2017-11-10 04:00:00
363,363,119330,26,1,18,266,2017-11-10 04:00:00
364,364,124897,15,1,19,412,2017-11-10 04:00:00
365,365,84410,15,1,47,315,2017-11-10 04:00:00
366,366,43155,3,1,19,211,2017-11-10 04:00:00
367,367,106162,3,1,37,489,2017-11-10 04:00:00
368,368,37919,18,1,10,107,2017-11-10 04:00:00
369,369,52563,9,1,22,215,2017-11-10 04:00:00
370,370,36300,18,1,25,107,2017-11-10 04:00:00
371,371,29139,2,1,13,237,2017-11-10 04:00:00
372,372,79258,13,1,1,477,2017-11-10 04:00:00
373,373,38653,21,1,13,232,2017-11-10 04:00:00
374,374,88281,9,2,13,488,2017-11-10 04:00:00
375,375,76508,18,1,41,121,2017-11-10 04:00:00
376,376,86767,2,1,13,122,2017-11-10 04:00:00
377,377,46581,15,1,13,430,2017-11-10 04:00:00
378,378,48282,1,1,19,377,2017-11-10 04:00:00
379,379,61667,2,1,6,219,2017-11-10 04:00:00
380,380,14792,2,1,13,236,2017-11-10 04:00:00
381,381,116675,14,1,22,442,2017-11-10 04:00:00
382,382,73487,2,1,19,435,2017-11-10 04:00:00
383,383,89450,3,1,18,442,2017-11-10 04:00:00
384,384,2528,9,1,41,445,2017-11-10 04:00:00
385,385,54741,12,1,32,259,2017-11-10 04:00:00
386,386,119369,18,1,15,107,2017-11-10 04:00:00
387,387,21013,2,1,10,212,2017-11-10 04:00:00
388,388,54007,18,1,19,121,2017-11-10 04:00:00
389,389,88124,26,1,20,477,2017-11-10 04:00:00
390,390,52143,12,1,8,259,2017-11-10 04:00:00
391,392,93996,18,1,1,107,2017-11-10 04:00:00
392,391,118413,2,1,19,237,2017-11-10 04:00:00
393,393,47902,9,2,13,107,2017-11-10 04:00:00
394,394,118956,14,1,13,379,2017-11-10 04:00:00
395,395,15444,23,1,19,153,2017-11-10 04:00:00
396,396,26280,18,1,19,439,2017-11-10 04:00:00
397,397,14332,26,1,41,121,2017-11-10 04:00:00
398,398,19964,19,16,0,213,2017-11-10 04:00:00
399,399,62760,14,1,19,379,2017-11-10 04:00:00
400,400,57563,14,1,40,467,2017-11-10 04:00:00
401,401,27499,2,1,19,122,2017-11-10 04:00:00
402,402,64060,15,1,53,315,2017-11-10 04:00:00
403,403,68525,2,1,19,237,2017-11-10 04:00:00
404,404,125141,15,1,19,265,2017-11-10 04:00:00
405,405,113509,18,1,19,107,2017-11-10 04:00:00
406,406,86008,12,1,8,265,2017-11-10 04:00:00
407,407,56105,26,1,41,121,2017-11-10 04:00:00
408,408,84703,15,1,19,315,2017-11-10 04:00:00
409,409,28350,3,1,25,211,2017-11-10 04:00:00
410,410,114148,24,1,13,105,2017-11-10 04:00:00
411,411,77219,2,1,13,452,2017-11-10 04:00:00
412,412,49651,2,1,8,219,2017-11-10 04:00:00
413,413,54137,12,1,41,424,2017-11-10 04:00:00
414,414,101614,28,1,13,135,2017-11-10 04:00:00
415,415,45999,3,1,17,211,2017-11-10 04:00:00
416,416,115954,15,1,13,315,2017-11-10 04:00:00
417,417,95155,9,1,16,445,2017-11-10 04:00:01
418,418,95155,3,1,16,135,2017-11-10 04:00:01
419,419,2076,13,1,16,477,2017-11-10 04:00:01
420,420,93207,9,1,22,488,2017-11-10 04:00:01
421,421,84718,20,1,19,478,2017-11-10 04:00:01
422,422,114663,9,1,13,442,2017-11-10 04:00:01
423,423,4052,19,0,50,347,2017-11-10 04:00:01
424,424,43793,18,1,11,107,2017-11-10 04:00:01
425,426,70258,4,1,85,101,2017-11-10 04:00:01
426,425,123626,18,1,18,107,2017-11-10 04:00:01
427,427,52546,13,1,37,477,2017-11-10 04:00:01
428,431,24860,3,1,25,480,2017-11-10 04:00:01
429,430,124294,23,1,25,153,2017-11-10 04:00:01
430,428,70568,3,1,19,205,2017-11-10 04:00:01
431,429,116403,3,1,27,442,2017-11-10 04:00:01
432,432,29738,8,1,31,145,2017-11-10 04:00:01
433,433,96030,2,1,19,469,2017-11-10 04:00:01
434,434,126101,15,1,13,111,2017-11-10 04:00:01
435,435,17149,27,1,20,122,2017-11-10 04:00:01
436,436,107596,2,1,19,452,2017-11-10 04:00:01
437,437,24847,3,1,25,452,2017-11-10 04:00:01
438,438,120673,3,1,13,135,2017-11-10 04:00:01
439,439,33349,3,1,22,424,2017-11-10 04:00:01
440,440,92673,8,2,19,145,2017-11-10 04:00:01
441,441,2528,25,1,41,259,2017-11-10 04:00:01
442,442,35954,12,1,19,212,2017-11-10 04:00:01
443,443,18780,27,1,32,122,2017-11-10 04:00:01
444,444,37801,12,1,13,178,2017-11-10 04:00:01
445,445,103860,18,1,20,134,2017-11-10 04:00:01
446,446,104235,2,1,18,452,2017-11-10 04:00:01
447,447,47682,12,1,41,265,2017-11-10 04:00:01
448,448,92867,2,1,19,452,2017-11-10 04:00:01
449,449,102225,14,1,53,349,2017-11-10 04:00:01
450,450,33104,2,1,41,435,2017-11-10 04:00:01
451,451,50069,8,1,25,145,2017-11-10 04:00:01
452,452,85221,2,1,13,219,2017-11-10 04:00:01
453,453,17149,2,1,49,435,2017-11-10 04:00:01
454,454,120673,2,1,13,258,2017-11-10 04:00:01
455,455,90855,12,1,8,326,2017-11-10 04:00:01
456,456,43155,9,1,19,127,2017-11-10 04:00:01
457,457,17149,2,1,49,435,2017-11-10 04:00:01
458,458,114148,20,1,13,259,2017-11-10 04:00:01
459,459,69345,18,1,47,439,2017-11-10 04:00:01
460,460,93291,2,1,9,205,2017-11-10 04:00:01
461,461,64900,3,1,19,452,2017-11-10 04:00:01
462,462,120673,3,1,13,417,2017-11-10 04:00:01
463,463,109800,14,1,19,349,2017-11-10 04:00:01
464,465,35042,21,1,25,128,2017-11-10 04:00:01
465,464,31402,23,1,18,153,2017-11-10 04:00:01
466,466,11643,28,1,25,135,2017-11-10 04:00:01
467,467,37801,8,1,13,145,2017-11-10 04:00:01
468,468,13886,27,1,13,153,2017-11-10 04:00:01
469,469,103176,9,1,17,127,2017-11-10 04:00:01
470,470,81859,12,1,20,340,2017-11-10 04:00:01
471,471,21013,12,1,10,328,2017-11-10 04:00:01
472,472,8536,11,1,22,319,2017-11-10 04:00:01
473,473,29738,12,1,31,178,2017-11-10 04:00:01
474,474,5314,1,1,13,135,2017-11-10 04:00:01
475,475,46568,18,1,13,439,2017-11-10 04:00:01
476,476,118956,2,1,13,435,2017-11-10 04:00:01
477,477,43155,2,1,19,236,2017-11-10 04:00:01
478,478,18214,9,1,13,134,2017-11-10 04:00:01
479,479,81859,2,1,20,236,2017-11-10 04:00:01
480,480,122861,9,1,8,334,2017-11-10 04:00:01
481,481,71421,9,1,13,466,2017-11-10 04:00:01
482,482,55117,1,1,13,17,2017-11-10 04:00:01
483,483,41399,9,1,8,442,2017-11-10 04:00:01
484,484,29844,18,1,15,134,2017-11-10 04:00:01
485,485,4304,3,1,17,480,2017-11-10 04:00:01
486,486,41924,15,1,25,153,2017-11-10 04:00:01
487,487,85375,18,1,19,107,2017-11-10 04:00:01
488,488,43155,12,1,19,340,2017-11-10 04:00:01
489,489,19800,12,1,19,265,2017-11-10 04:00:01
490,490,48979,13,1,19,477,2017-11-10 04:00:01
491,491,25556,18,1,11,107,2017-11-10 04:00:01
492,492,1800,8,1,13,145,2017-11-10 04:00:01
493,493,63612,12,2,36,265,2017-11-10 04:00:01
494,494,44169,10,1,19,377,2017-11-10 04:00:01
495,495,98457,1,1,19,377,2017-11-10 04:00:01
496,496,92673,12,1,6,259,2017-11-10 04:00:01
497,497,110529,23,1,13,153,2017-11-10 04:00:01
